Category,Subcategory,Clause_Code,Description,Applicability,Amount_INR,Due_Date_Or_Deadline,Special_Terms_And_Conditions
Tuition Fees,Undergraduate B.Tech,TUI-UG-01,Regular Semester Tuition Fee per standard semester (Autumn/Spring),All full-time B.Tech Candidates,95000,Within 5 calendar days of semester registration,"Non-refundable after formal course drop period. Concessions applicable only under valid National Scholarship portal awards."
Tuition Fees,Postgraduate M.Tech,TUI-PG-01,Regular Semester Tuition Fee per standard semester (Autumn/Spring),All full-time M.Tech Candidates,65000,Within 5 calendar days of semester registration,Full waiver applicable for Institute Teaching Assistantship (TA) awardees subject to 8 hours/week service.
Tuition Fees,Doctoral Ph.D.,TUI-DOC-01,Per-semester research tuition and doctoral registry fees,All Ph.D. Scholars,25000,Within 5 calendar days of semester registration,Contingent on ongoing research advisor endorsement and bi-annual doctoral committee clearance.
Institutional Facilities,Library & Digital Resources,FAC-LIB-01,Annual digital catalog database license and physical repository subscription,All Registered Students,4500,At the time of Autumn semester registration,Grants unlimited access to IEEE Xplore, ScienceDirect, ACM Digital Library, and campus physical reading stacks.
Institutional Facilities,Computing & High Performance Lab,FAC-COMP-01,Campus gigabit fiber networking computational server cluster levy,All STEM Candidates,6000,At the time of Autumn semester registration,Covers cloud compute credits and licensed software suites (MATLAB, Ansys, Cadence, SolidWorks).
Institutional Facilities,Student Wellness & Medical Center,FAC-MED-01,Primary healthcare dispensary 24/7 campus ambulance emergency cover,All Campus Residents,3000,Annual charge collected in Autumn registration,"Includes free consultation, basic outpatient medications, and cashless emergency stabilization up to Rs. 50,000."
Hostel & Accommodation,Room Rent Single Occupancy,HST-SGL-01,Single air-cooled private residential room in senior blocks,Senior B.Tech / PG / Ph.D.,38000,Per semester prior to hostel room key allocation,"Subject to room availability and minimum CGPA criterion of 7.50. Smoking, cooking, and heavy appliances banned."
Hostel & Accommodation,Room Rent Double Occupancy,HST-DBL-01,Shared twin occupancy room in standard residential halls,First to Third Year Undergraduates,26000,Per semester prior to hostel room key allocation,"Mandatory for all non-local residential students. Includes high-speed Wi-Fi, maintenance, and water heating."
Dining & Catering,Standard Mess Meal Subscription,MES-STD-01,Four meals daily (Breakfast, Lunch, Evening Tea, Dinner) in central dining hall,All Hostel Residents,24000,Payable in advance per semester,Non-transferable meal card system. Mess rebate allowed for authorized institutional absence exceeding 5 continuous days.
Examination Fees,Regular Semester Examination,EXM-REG-01,End-semester evaluation, grading tabulation, and provisional grade card,All Registered Candidates,2500,Along with course registration forms,Mandatory fee required to generate examination hall admit card.
Examination Fees,Supplementary / Backlog Exam,EXM-SUPP-01,Supplementary examination evaluation per registered course backlog,Failed Course Candidates,1200,Within 7 days of supplementary exam declaration,Applicable for re-appearing in theoretical examinations following an 'F' grade in prior semester.
Examination Fees,Grade Card Re-issue / Transcript,EXM-TRN-01,Issuance of official sealed multi-copy academic transcript transcripts,Graduating Seniors / Alumni,1000,Upon online submission of transcript petition,Includes 3 official embossed sealed envelopes. Additional copies chargeable at Rs. 250 per piece.
Penalties & Late Levies,Late Semester Registration,PEN-REG-01,Administrative penalty for course registration during 5-day grace period,Defaulting Candidates,3500,Payable immediately at time of delayed registration,Strictly no registration permitted after the 5th day of semester commencement under any circumstance.
Penalties & Late Levies,Late Tuition Fee Fine Tier 1,PEN-TUI-01,Late payment surcharge for tuition settled between Day 6 and Day 15,Late Fee Payers,2000,Payable along with pending tuition amount,Automatic ERP financial hold placed preventing exam hall ticket generation until cleared.
Penalties & Late Levies,Late Tuition Fee Fine Tier 2,PEN-TUI-02,Late payment surcharge for tuition settled between Day 16 and Day 30,Late Fee Payers,5000,Payable along with pending tuition amount,Failure to pay by Day 30 triggers automatic de-registration and administrative semester drop.
Penalties & Late Levies,Hostel Curfew Late Entry Fine,PEN-HST-01,Disciplinary administrative fine for reporting to hostel after 22:00 hours,Hostel Residents,1000,Payable within 48 hours of security blotter entry,"First offense fine Rs. 1,000; second offense fine Rs. 2,500; third offense results in immediate eviction from campus housing."
Penalties & Late Levies,Library Overdue Book Fine,PEN-LIB-01,Daily penalty for retaining circulating general library books past 14 days,All Book Borrowers,20,Per day per volume after due date,Maximum fine capped at the replacement cost of the book plus 20% handling surcharge.
Refund Schedules,Pre-Commencement Withdrawal,REF-01,Full withdrawal submitted prior to formal orientation and class commencement,Admitted Freshmen,90000,Before official semester day 1,Full refund of tuition fee minus a processing administrative deduction of Rs. 1,000.
Refund Schedules,Early Withdrawal Bracket [CRITICAL CONTRADICTION],REF-02,Withdrawal submitted between Calendar Day 8 and Calendar Day 14 from semester commencement,Enrolled Students,76000,Day 8 through Day 14 of semester,Withdrawal submitted between Calendar Day 8 and Calendar Day 14 from semester commencement shall be entitled to an eighty percent (80%) refund of tuition fees subject only to a deduction of Rs. 2500 administrative processing fee.
Refund Schedules,Mid-Semester Withdrawal Bracket,REF-03,Withdrawal submitted between Calendar Day 15 and Calendar Day 30 from semester start,Enrolled Students,47500,Day 15 through Day 30 of semester,Fifty percent (50%) tuition refund granted if withdrawal is backed by certified severe medical distress.
Refund Schedules,Late Withdrawal Zero Refund,REF-04,Withdrawal submitted beyond Calendar Day 30 from semester commencement,Enrolled Students,0,After Day 30 of semester,Zero percent (0%) refund. Entire tuition fee and facility charges are strictly forfeited by the institution.
Security Deposits,Refundable Institutional Caution Deposit,DEP-INST-01,One-time refundable deposit against institutional laboratory or library damage,All Newly Admitted Students,15000,At initial admission matriculation,Refundable in full upon degree completion and issuance of institutional No-Dues clearance certificate.
Security Deposits,Hostel Security Caution Deposit,DEP-HST-01,One-time refundable deposit against residential furniture and room damage,Hostel Inmates,10000,At initial hostel room possession,Refundable upon final room vacation and physical inspection by the Hostel Warden.
